X1,Author,Year,Substudy,Setting,Measured,Measure_Unit,Brand,Device,device_name,device_year,Wear_Location,Wear_Info,Type,Good?,Criterion_Measure,Criterion_Type,Wear_Info_crit,Wear_Location_crit,population_n,population_m,population_f,population,age_code,health_code,age,age_SD,weight,weight_SD,height,height_SD,BMI,BMI_SD,location,activity_type,test_type,activity_type_code,body_Motion,pace_code,pace_value,incline_code,incline_pct,activity_details,bout_rest,epoch,actual_n_analyzed,trend,CC_type,CC,CC_bins,CC_all,CC_CI_pct,CC_CI_upper,CC_CI_lower,CC_pvalue,CC_significance,ES_type,ES,ES_CI_upper,ES_CI_lower,BA_LoA_upper,BA_LoA_lower,BA_LoA_width,devicemean,devicemean_SD,critmean,critmean_SD,device_v_crit,meandiff,meandiff_SD,meandiff_CI_upper,meandiff_CI_lower,MPE,MPE_bin,MPE_SD,MPE_significance_test,MPE_significance_num,MAD,MAD_SD,MAD_CI_upper,MAD_CI_lower,MAPE,MAPE_bin,MAPE_SD,MAPE_CI_upper,MAPE_CI_lower,RMSE,equivalencetesting,accuracypct,accuracypct_CI_upper,accuracypct_CI_lower,TEEstandardized,TEEstandardized_CI_upper,TEEstandardized_CI_lower,deviceSE,deviceCofV,critCofV,n_5pctofcrit,n_10pctofcrit,n_15pctofcrit,n_20pctofcrit,n_25pctofcrit,systematicbias_slope,systematicbias_intercept,systematicbias_probability,systematicbias_significance,Other
11,Fokkema,2017,-,Controlled,SC,steps/10 min,Apple,Watch,Apple Watch,2015,Wrist,"wrist, left",full-text,y,Manual count,manual count,NA,NA,31,16,15,healthy adults,A,H,32,12,NA,NA,NA,NA,22.6,2.4,Netherlands,Walk: Treadmill,NA,At,Nr,Nm,1.78,N,NA,"walk, 6.4 km/h, 10 min, Session 2",NA,unknown,31,good validity,ICC,0.86,VS,0.86,95,0.93,0.72,< .01,sig,NA,NA,NA,NA,67,-65,132,NA,NA,1251,54,over,1,6,NA,NA,0.000799361,± 3%,NA,NA,NA,NA,NA,NA,NA,0.001,less 3%,NA,NA,NA,NA,"0.15
paired samples t-test
not sig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Fokkema,2017,-,Controlled,SC,steps/10 min,Apple,Watch,Apple Watch,2015,Wrist,"wrist, left",full-text,y,Manual count,manual count,NA,NA,31,16,15,healthy adults,A,H,32,12,NA,NA,NA,NA,22.6,2.4,Netherlands,Walk: Treadmill,NA,At,Nr,Nm,1.33,N,NA,"walk, 4.8 km/h, 10 min, Session 1",NA,unknown,31,good validity,ICC,0.93,VS,0.93,95,0.97,0.86,< .01,sig,NA,NA,NA,NA,35,-36,71,NA,NA,1117,44,equal,0,3,NA,NA,0,± 3%,NA,NA,NA,NA,NA,NA,NA,0,less 3%,NA,NA,NA,NA,"-0.09
paired samples t-test
not sig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Dooley,2017,-,Controlled,HR,bpm,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, random",full-text,y,Heart rate sensor chest strap (Polar T31),chest strap,chest,Torso,62,26,36,healthy adults,A,H,22.55,4.34,72.02,18.99,170,11,24.6,4.77,"TX, USA",Rest: Seated,Rest,Se,NA,NA,NA,N,NA,"rest, seated recovery period, 10 min, HR assessed 3.5 minutes into each activity stage",no,unknown,62,underestimate,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohen's d,-0.13,NA,NA,NA,NA,NA,82.57,15.17,84.47,15.16,under,NA,NA,NA,NA,-0.022493193,± 3%,NA,< .001,sig,NA,NA,NA,NA,0.0238,less 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Stahl,2016,-,Controlled,HR,bpm,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, random",full-text,y,Heart rate sensor chest strap (Polar WearLink 31),chest strap,chest,Torso,50,32,18,healthy adults,A,H,"M: 27.47 ± 6.1 
F: 24.17 ± 4.93",NA,"M: 82.66 ± 9.5 kg
F: 63.18 ± 10.9 kg",NA,"M: 180.22 ± 4.7 cm
F: 164.38 ± 8.7 cm",NA,24.4,3.05,"NE, USA",Run: Treadmill,Activity,At,Nr,R,2.22,N,NA,"run, 8.0 km/h, 5 min, HR taken every minute",NA,minute-by-minute,50,accurate measurement during walking and running activities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,19,135.6,18.4,under,NA,NA,NA,NA,-0.01179941,± 3%,NA,NA,NA,NA,NA,NA,NA,0.0246,less 3%,0.0478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Stahl,2016,-,Controlled,HR,bpm,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, random",full-text,y,Heart rate sensor chest strap (Polar WearLink 31),chest strap,chest,Torso,50,32,18,healthy adults,A,H,"M: 27.47 ± 6.1 
F: 24.17 ± 4.93",NA,"M: 82.66 ± 9.5 kg
F: 63.18 ± 10.9 kg",NA,"M: 180.22 ± 4.7 cm
F: 164.38 ± 8.7 cm",NA,24.4,3.05,"NE, USA",Run: Treadmill,Activity,At,Nr,R,2.67,N,NA,"run, 9.6 km/h, 5 min, HR taken every minute",NA,minute-by-minute,50,accurate measurement during walking and running activities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.4,19.1,151.4,19.2,under,NA,NA,NA,NA,-0.01321004,± 3%,NA,NA,NA,NA,NA,NA,NA,0.0173,less 3%,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Fokkema,2017,-,Controlled,SC,steps/10 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, right",full-text,y,Manual count,manual count,NA,NA,31,16,15,healthy adults,A,H,32,12,NA,NA,NA,NA,22.6,2.4,Netherlands,Walk: Treadmill,NA,At,Nr,Nm,1.33,N,NA,"walk, 4.8 km/h, 10 min, Session 1",NA,unknown,31,good validity,ICC,0.2,WK,0.2,95,0.5,-0.14,NA,ns,NA,NA,NA,NA,162,-118,280,NA,NA,1117,44,over,22,13,NA,NA,0.019695613,± 3%,NA,NA,NA,NA,NA,NA,NA,0.02,less 3%,NA,NA,NA,NA,"1.70
paired samples t-test
not sig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Fokkema,2017,-,Controlled,SC,steps/10 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, right",full-text,y,Manual count,manual count,NA,NA,31,16,15,healthy adults,A,H,32,12,NA,NA,NA,NA,22.6,2.4,Netherlands,Walk: Treadmill,NA,At,Nr,Nm,1.33,N,NA,"walk, 4.8 km/h, 10 min, Session 2",NA,unknown,31,good validity,ICC,0.27,WK,0.27,95,0.56,-7e-02,NA,ns,NA,NA,NA,NA,160,-122,282,NA,NA,1108,46,over,19,13,NA,NA,0.017148014,± 3%,NA,NA,NA,NA,NA,NA,NA,0.017,less 3%,NA,NA,NA,NA,"-1.93
Wilcoxon signed-rank test in case of a non-normal distribution
not sig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Lamont,2018,-,Controlled,SC,steps/2 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, both",full-text,y,Accelerometry (ActivPAL3 [thigh]),accelerometry,"thigh, right, anterior middle",Thigh,33,21,12,"adults, Parkinson's",OA,NH,69,8,NA,NA,NA,NA,NA,NA,"QLD, AUS",Walk: Overground,NA,Ao,C,Sp,self-selected,N,NA,"2 minute walk test, self-selected pace, indoor 44m uncluttered route",NA,15s,33,good validity,ICC,0.88,VS,0.88,95,0.94,0.76,< .05,sig,NA,NA,NA,NA,24.8,-24,48.8,219,20.3,218.2,13.5,over,0.4,11.2,NA,NA,0.003666361,± 3%,NA,NA,NA,NA,NA,NA,NA,0.028,less 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Lamont,2018,-,Controlled,SC,steps/2 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, both",full-text,y,Accelerometry (ActivPAL3 [thigh]),accelerometry,"thigh, right, anterior middle",Thigh,33,21,12,"adults, Parkinson's",OA,NH,69,8,NA,NA,NA,NA,NA,NA,"QLD, AUS",Walk: Overground,NA,Ao,C,Sp,self-selected,N,NA,"2 min, self-selected pace, on a 500m route that incorporated both terrain challenges (slopes, grass and stairs) and crowds to reflect challenges commonly identified by people with PD when walking in the community",NA,15s,33,good validity,ICC,0.94,VS,0.94,95,0.97,0.86,< .05,sig,NA,NA,NA,NA,51.4,-64.5,115.9,677.9,66.7,685.8,82.5,under,-6.6,25.6,NA,NA,-0.011519393,± 3%,NA,NA,NA,NA,NA,NA,NA,0.015,less 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Montoye,2017,-,Controlled,SC,steps/5 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, ND",full-text,y,Accelerometry (OMRON HJ-323U [hip]),accelerometry,"waist, right",Waist/Hip,32,18,14,healthy adults,A,H,23.5,1.3,79.5,3,173,1.5,25.6,0.8,"MI, USA",Rest: Supine,NA,Se,NA,NA,NA,N,NA,"rest, supine, 5 min",yes,N/A,32,good validity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,equal,NA,NA,NA,NA,0,± 3%,NA,NA,ns,NA,NA,NA,NA,0,less 3%,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Montoye,2017,-,Controlled,SC,steps/5 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, ND",full-text,y,Accelerometry (OMRON HJ-323U [hip]),accelerometry,"waist, right",Waist/Hip,32,18,14,healthy adults,A,H,23.5,1.3,79.5,3,173,1.5,25.6,0.8,"MI, USA",Rest: Standing,NA,Se,NA,NA,NA,N,NA,"rest, standing, 5 min",yes,N/A,32,good validity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,equal,NA,NA,NA,NA,0,± 3%,NA,NA,ns,NA,NA,NA,NA,0,less 3%,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Montoye,2017,-,Controlled,SC,steps/5 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, ND",full-text,y,Accelerometry (OMRON HJ-323U [hip]),accelerometry,"waist, right",Waist/Hip,32,18,14,healthy adults,A,H,23.5,1.3,79.5,3,173,1.5,25.6,0.8,"MI, USA",Jog: Treadmill,NA,At,Nr,R,self-selected,N,0,"jog, 0% incline, self-paced jog (range 5.0-10.0 mph), 5 min",yes,N/A,32,good validity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,792.5,8.2,799.3,8.8,under,NA,NA,NA,NA,-0.008507444,± 3%,NA,NA,ns,NA,NA,NA,NA,0.013,less 3%,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Jones,2018,-,Controlled,SC,steps/4 min,Fitbit,Flex,Fitbit Flex,2013,Wrist,"wrist, 2 on L, 1 on R",full-text,y,Manual count,manual count,NA,NA,30,12,18,healthy adults,A,H,34,8,71,16,171,12,23.8,7.64,"VIC, AUS",Run: Treadmill,NA,At,Nr,R,2.22,N,NA,"run, 8 km/h, 4 min, middle 2 min of each stage used for analysis",2 min,60 seconds,25,good correlation,Pearson,0.997,VS,0.997,NA,NA,NA,< .001,sig,NA,NA,NA,NA,NA,NA,NA,318,16,318,16,equal,NA,NA,NA,NA,0,± 3%,NA,NA,NA,NA,NA,NA,NA,0,less 3%,NA,0.01,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Jones,2018,-,Controlled,SC,steps/4 min,Fitbit,Flex,Fitbit Flex,2013,Wrist,"wrist, 2 on L, 1 on R",full-text,y,Manual count,manual count,NA,NA,28,11,17,healthy adults,A,H,33,8,71,15,172,12,23.95,2.41,"VIC, AUS",Run: Treadmill,NA,At,Nr,R,2.78,N,NA,"run, 10 km/h, 4 min, middle 2 min of each stage used for analysis",2 min,60 seconds,24,good correlation,Pearson,0.994,VS,0.994,NA,NA,NA,< .001,sig,NA,NA,NA,NA,NA,NA,NA,331,20,331,21,equal,NA,NA,NA,NA,0,± 3%,NA,NA,NA,NA,NA,NA,NA,0.01,less 3%,NA,0.01,-0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Jones,2018,-,Controlled,SC,steps/4 min,Fitbit,Flex,Fitbit Flex,2013,Wrist,"wrist, 2 on L, 1 on R",full-text,y,Manual count,manual count,NA,NA,25,11,14,healthy adults,A,H,33,8,70,11,172,12,23.66,1.59,"VIC, AUS",Run: Treadmill,NA,At,Nr,R,3.33,N,NA,"run, 12 km/h, 4 min, middle 2 min of each stage used for analysis",2 min,60 seconds,22,good correlation,Pearson,0.829,VS,0.829,NA,NA,NA,< .001,sig,NA,NA,NA,NA,NA,NA,NA,335,30,342,21,under,NA,NA,NA,NA,-0.020467836,± 3%,NA,NA,NA,NA,NA,NA,NA,0.01,less 3%,NA,0.07,-0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Duclos,2019,-,Controlled,SC,steps/6 min,Fitbit,One,Fitbit One,2012,LAF,"ankle, non-paretic",full-text,y,Manual count,manual count,NA,NA,20,13,7,hemiparetic post-stroke,A,NH,53.9,10.8,NA,NA,NA,NA,NA,NA,"QC, CAN",Walk: Overground,NA,Ao,C,Sp,self-selected,N,NA,"6 minute walk test, self-selected pace, 6 min",NA,step-by-step,20,underestimate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604,143,637,147,under,NA,NA,NA,NA,-0.047001621,less -3%,NA,NA,NA,NA,NA,NA,NA,0.005,less 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,"error similar during 6MWT, ramp, stair
x2(2) = 5.76, p = .06
errors observed during diff tasks not sig correlated

graphs without values"
27,Duclos,2019,-,Controlled,SC,steps/615m,Fitbit,One,Fitbit One,2012,LAF,"ankle, non-paretic",full-text,y,Manual count,manual count,NA,NA,20,13,7,hemiparetic post-stroke,A,NH,53.9,10.8,NA,NA,NA,NA,NA,NA,"QC, CAN",Walk: Overground,NA,Ao,C,Sp,self-selected,N,NA,"circuit inside shopping mall, including up and down access ramp x2 and up and down 8 steps x2, 615m",N/A,step-by-step,19,underestimate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1441,373,1532,423,under,NA,NA,NA,NA,-0.059399478,less -3%,NA,NA,NA,NA,NA,NA,NA,0.0267,less 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA
28,Duclos,2019,-,Controlled,SC,steps/bout,Fitbit,One,Fitbit One,2012,LAF,"ankle, non-paretic",full-text,y,Manual count,manual count,NA,NA,20,13,7,hemiparetic post-stroke,A,NH,53.9,10.8,NA,NA,NA,NA,NA,NA,"QC, CAN",Walk: Overground,NA,Ao,C,Sp,self-selected,Y,ramp,"ascend and descend access ramp, self-selected pace, x4",NA,step-by-step,17,underestimate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,43,127,47,under,NA,NA,NA,NA,-0.133858268,less -3%,NA,NA,NA,NA,NA,NA,NA,0.0217,less 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"error similar during 6MWT, ramp, stair
x2(2) = 5.76, p = .06
errors observed during diff tasks not sig correlated

graphs without values"
29,Floegel,2017,-,Controlled,SC,steps/100m,Fitbit,One,Fitbit One,2012,Waist/Hip,"hip, ND",full-text,y,Manual count,manual count,NA,NA,25,7,18,"older adults, impaired ambulation",OA,H,79.2,7.4,NA,NA,NA,NA,28,6.5,"NC, USA",Walk: Overground,NA,Ao,C,Sp,self-selected,N,NA,"walk, self-selected pace, 100m",NA,step-by-step,25,good validity,ICC,0.96,VS,0.96,95,0.99,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,-3.3,NA,NA,NA,-0.0171,± 3%,"95%CI: -0.69, -2.73%",NA,NA,NA,NA,NA,NA,0.0181,less 3%,NA,0.0279,0.0082,NA,equivalent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
